[[<module 'oppgave2.export58' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export58.py'>, NameError("name 'kjoretoy' is not defined")]]
[[<module 'oppgave2.export255' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export255.py'>, NameError("name 'M3' is not defined")]]
[[<module 'oppgave2.export89' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export89.py'>, NameError("name 'totalvekt' is not defined")]]
[[<module 'oppgave2.export135' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export135.py'>, NameError("name 'n_plass' is not defined")]]
[[<module 'oppgave2.export203' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export203.py'>, NameError("name 'N2' is not defined")]]
[[<module 'oppgave2.export194' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export194.py'>, NameError("name 'true' is not defined")]]
[[<module 'oppgave2.export153' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export153.py'>, TypeError("'type' object is not subscriptable")]]
[[<module 'oppgave2.export217' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export217.py'>, AssertionError('None is not true : M3')]]
[[<module 'oppgave2.export81' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export81.py'>, NameError("name 'preson' is not defined")]]
[[<module 'oppgave2.export266' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export266.py'>, TimeoutError()]]
[[<module 'oppgave2.export231' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export231.py'>, AssertionError('False is not true : M3')]]
[[<module 'oppgave2.export220' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export220.py'>, AssertionError('None is not true : M3')]]
[[<module 'oppgave2.export34' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export34.py'>, TypeError("'function' object is not iterable")]]
[[<module 'oppgave2.export169' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export169.py'>, NameError("name 'true' is not defined")]]
[[<module 'oppgave2.export237' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export237.py'>, UnboundLocalError("local variable 'kategori' referenced before assignment")]]
[[<module 'oppgave2.export111' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export111.py'>, NameError("name 'varetransport' is not defined")]]
[[<module 'oppgave2.export5' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export5.py'>, NameError("name 'persontransport' is not defined")]]
[[<module 'oppgave2.export106' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export106.py'>, NameError("name 'personbil' is not defined")]]
[[<module 'oppgave2.export60' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export60.py'>, NameError("name 'M3' is not defined")]]
[[<module 'oppgave2.export206' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export206.py'>, AttributeError("'list' object has no attribute 'strip'")]]
[[<module 'oppgave2.export30' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export30.py'>, AssertionError('None is not true : M3')]]
[[<module 'oppgave2.export104' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export104.py'>, NameError("name 'M3' is not defined")]]
[[<module 'oppgave2.export172' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export172.py'>, AssertionError('None is not true : M3')]]
[[<module 'oppgave2.export122' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export122.py'>, NameError("name 'M3' is not defined")]]
[[<module 'oppgave2.export120' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave2/export120.py'>, AssertionError('None is not true : M3')]]
[[<module 'oppgave3.export46' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export46.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export242' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export242.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export178' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export178.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export63' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export63.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export99' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export99.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export186' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export186.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export127' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export127.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export54' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export54.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export87' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export87.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export2' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export2.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export105' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export105.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export157' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export157.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export247' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export247.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export28' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export28.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export204' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export204.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export165' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export165.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export162' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export162.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export255' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export255.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export97' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export97.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export48' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export48.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export100' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export100.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export20' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export20.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export66' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export66.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export135' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export135.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export8' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export8.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export142' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export142.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export9' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export9.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export230' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export230.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export239' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export239.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export170' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export170.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export269' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export269.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export174' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export174.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
[[<module 'oppgave3.export245' from '/home/sigmund/eksamensoppgaver/H22Kveld/oppgave3/export245.py'>, TypeError('array() takes from 1 to 2 positional arguments but 5 were given')]]
