[[<module 'oppgave1.export135' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export135.py'>, AssertionError('4 != 11')]]
[[<module 'oppgave1.export746' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export746.py'>, UnboundLocalError("local variable 's' referenced before assignment")]]
[[<module 'oppgave1.export327' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export327.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave1.export1243' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1243.py'>, NameError("name 'lst' is not defined")]]
[[<module 'oppgave1.export619' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export619.py'>, TypeError("argument of type 'NoneType' is not iterable")]]
[[<module 'oppgave1.export490' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export490.py'>, TypeError("'list' object cannot be interpreted as an integer")]]
[[<module 'oppgave1.export481' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export481.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave1.export603' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export603.py'>, IndexError('pop index out of range')]]
[[<module 'oppgave1.export707' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export707.py'>, TypeError("'list' object cannot be interpreted as an integer")]]
[[<module 'oppgave1.export1130' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1130.py'>, AssertionError('0 != 11')]]
[[<module 'oppgave1.export750' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export750.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export465' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export465.py'>, AssertionError('0 != 11')]]
[[<module 'oppgave1.export523' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export523.py'>, AssertionError('1 != 11')]]
[[<module 'oppgave1.export1068' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1068.py'>, NameError("name 'results' is not defined")]]
[[<module 'oppgave1.export758' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export758.py'>, ValueError('list.remove(x): x not in list')]]
[[<module 'oppgave1.export702' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export702.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export1205' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export1205.py'>, TypeError('can only concatenate str (not "int") to str')]]
[[<module 'oppgave1.export4' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export4.py'>, NameError("name 'reaultat' is not defined")]]
[[<module 'oppgave1.export291' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export291.py'>, IndexError('pop index out of range')]]
[[<module 'oppgave1.export582' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export582.py'>, IndexError('pop index out of range')]]
[[<module 'oppgave1.export547' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export547.py'>, TypeError("argument of type 'NoneType' is not iterable")]]
[[<module 'oppgave1.export940' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export940.py'>, AssertionError('7 != 11')]]
[[<module 'oppgave1.export234' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export234.py'>, AttributeError("'int' object has no attribute 'remove'")]]
[[<module 'oppgave1.export938' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export938.py'>, TypeError("'int' object is not iterable")]]
[[<module 'oppgave1.export741' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export741.py'>, IndexError('list index out of range')]]
[[<module 'oppgave1.export24' from '/home/sigmund/eksamensoppgaver/H22/oppgave1/export24.py'>, UnboundLocalError("local variable 'sum' referenced before assignment")]]
